T0,T1,T2,T3,T4,T5,T6,T7,datetime,sentiment
0.7710682063817924,0.0029799816221426655,0.09471844233522056,0.002979691697897052,0.002978533054884903,0.00297656015142805,0.11931711278618652,0.0029814719704479927,2017-01-17 21:14:59,-1
0.7554668320701182,0.10530653288339563,0.0025518062782871613,0.12646233186012,0.0025510445550031486,0.002554691581398052,0.0025548630274606415,0.0025518977442172347,2017-01-03 16:46:44,1
0.8698744290259178,0.0016682435876485076,0.0016687237839101306,0.0016697747310592083,0.0016686836958728793,0.0016666740307264938,0.09184084029054591,0.029942630854319002,2016-12-12 17:16:40,1
0.43962907839479165,0.0004048644240742233,0.000404903680843944,0.00040509091802523747,0.0004046423305134347,0.00040474247988243217,0.5579417045364999,0.0004049732353692488,2016-11-08 23:55:28,1
0.6736007610858792,0.0007030665000899814,0.0007038680772580205,0.0007033729496695383,0.025952465652432095,0.0007022748814336882,0.2969310618380868,0.0007031290151507672,2016-10-30 21:13:14,1
0.7210918377662241,0.0012891339730504649,0.022260783269531882,0.0012908659931775996,0.0012889098864644105,0.001288701766590136,0.250199754229092,0.001290013115869395,2016-10-29 03:33:41,-1
0.7847627733940862,0.0008938639452165816,0.0008938330228153237,0.0008939796478301668,0.0008930818834128901,0.03981656363016255,0.17095125504443115,0.0008946494320451256,2016-10-25 21:57:07,1
0.5601887421248032,0.0011472311229720515,0.0011473210345691617,0.18545944337437678,0.0011474294987637494,0.0011468364479487428,0.2486150592932024,0.0011479371033640427,2016-10-20 17:56:14,1
0.2083419730689231,0.11249869068686592,0.00284521821860402,0.0028465041111532755,0.002841266556959848,0.002841155222794096,0.6649429387328394,0.0028422534018603374,2016-09-23 00:23:15,1
0.2755142770035823,0.0010426495190446984,0.001042210189809484,0.021408788909647505,0.1298036135689644,0.001041700469457865,0.5691034673399246,0.0010432929995691992,2016-09-08 07:58:19,1
0.5016903834285602,0.0007489279329485804,0.0007491757613363482,0.0007500221935802033,0.0007486875110863544,0.06484975115502534,0.4297140799909977,0.0007489720264651431,2016-08-30 02:51:48,1
0.9927635914488083,0.001033587748719381,0.0010333442391043666,0.0010338276985513218,0.0010335790993364865,0.0010333464834979152,0.001035039811093407,0.0010336834708888614,2016-08-29 20:46:38,1
0.2119241319266407,0.4486959051655057,0.0020171479222936533,0.0020183382292711543,0.0020180465717116918,0.0020161307757637654,0.32929090575589987,0.0020193936529133458,2016-08-26 22:50:07,1
0.5430177763491237,0.04545695730375551,0.002193710724816968,0.02809173660666792,0.002193353400759725,0.0021997079792140228,0.37465238941907525,0.0021943682165868864,2016-08-18 17:53:56,1
0.7676135666530742,0.0017129531489639615,0.0017130948427343002,0.06022172401442382,0.001712738136542647,0.0017129803995097168,0.16359850434668755,0.0017144384580636848,2016-08-08 20:03:19,1
0.002980654550887762,0.0029781000369606086,0.002977692070724591,0.3704474620563424,0.05698189907494265,0.0029766602256212586,0.5576795012938464,0.002978030690674335,2016-08-02 17:23:57,1
0.2540150995462242,0.1184586950455151,0.002316838477121374,0.0023170555496783997,0.002316220601687995,0.0023167397452192235,0.6159423147529208,0.0023170362816328166,2016-07-25 05:05:55,1
0.0016482965869450404,0.001645257715254678,0.0016453574085966102,0.0016467374311704014,0.0016450139641817274,0.0016450002547222292,0.9884792830493868,0.0016450535897424394,2016-07-20 19:19:11,1
